model,modal,n_images,timestamp,EN,MI,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
MM-Net-Fusion,SPECT,10,20260424_093349,5.173700361508476,,57.70688738549693,6.516197471487132,20.012518497085445,65.58145468016754,0.813851901255292,3.0657865050260957,0.00011075956388096682,0.6324743852265866,1.3068787566594093,1.406534894546511,58.304477666335984,0.09740748212766698,0.7670212085267117,0.050306577672913,0.7275418887460685,0.6240613102089068,0.9156220648339415,27.045835025791728,0.9910145009165581,0.9640951687816421,0.11577331190676672,0.813851901255292,-4.620839197839632
MM-Net-Fusion,CT,10,20260424_093429,4.460813868160338,,53.81793544848598,6.072390624871353,20.614328396110995,61.62487986248395,0.8098360566071104,2.5848592490506475,5.7468659558937095e-05,0.7283099902922633,0.9037325684251665,1.4741837778932934,56.21270780869395,0.15699909653146008,0.5392222831457393,0.008331740901439885,0.4714451333763313,0.3319714104738085,0.7863516502711758,1440.5847144989177,0.9654883193337938,0.9657876429795824,0.46593817443862556,0.8098360566071104,-6.324537248446587
MMAE,PET,10,20260424_094307,3.3155231848839675,,65.26037619761678,5.565055726027648,24.688734868867236,56.64562667654834,0.8041373367592926,1.3602231952933366,0.04811415065084963,0.5502367564796018,0.9749657907114846,1.237739126484803,54.76804378651026,0.21717992954468562,0.17622663284526785,0.0006619055915639744,0.20082712299340905,0.15111003511767232,0.84174010733662,1009.2664563454824,0.8213590477662922,0.6167129686781214,0.36715291605354516,0.8041373367592923,-8.13122946719033
MMAE,SPECT,10,20260424_094339,4.018349220236345,,47.74652315991938,6.056248229667964,24.912512321830885,61.1611143022197,0.8051340866808927,1.6788863202850213,0.0772833045899057,0.4974063354155912,1.1548334208034476,1.191052040026571,56.33135378152451,0.1524891028345269,0.29686027288335737,0.0013380678833452195,0.26225060524851884,0.20583631402387598,0.8970924261451495,467.9898736493121,0.8192073874576093,0.6261760464765325,0.11483463492322013,0.8051340866808927,-6.009179157791639
MMAE,CT,10,20260424_094421,3.3802796445662735,,53.197003266309494,7.575569825928359,37.611147077897144,73.24567970355318,0.8045995697261812,1.4360004218394884,0.05677437744744037,0.608594647389073,0.9521238957774274,1.2288144414566096,54.201658981715184,0.248203635469594,0.26461083827063125,0.001979028715297108,0.21153432891415128,0.16345342136537216,0.7650497876993938,1973.25330625442,0.7768188080643805,0.6295164953355217,0.08292639638750601,0.8045995697261812,-8.48816727815682
MMIF-INet,PET,10,20260424_093917,5.209211022584018,,92.62456604730878,11.933605296003005,38.97796671178315,121.3327191576489,0.8070401088487822,2.0789351758109755,0.011644686212336547,0.5981802964069803,0.908236070161714,1.40897753147617,54.94908772362751,0.20830074693243272,0.7188181735351893,0.026176664931439143,0.6478217227303472,0.6157275791711276,0.8987122942301852,62.1255535257507,0.9431127180050218,0.676542608012217,0.013887286587708252,0.8070401088487824,-7.689109291961387
MMIF-INet,SPECT,10,20260424_093951,5.397506979677361,,68.68068927839464,7.629475261636931,23.590217728000788,77.44402289405551,0.8077214726923394,2.226592219300038,0.036448000839895654,0.5912431682531593,1.2025079742029685,1.3975875833669855,56.80529257384205,0.13619436906545873,0.7162303954416844,0.04408051436146702,0.6663974498267263,0.624428926863587,0.9174753106885856,39.53389648108963,0.9426439388103616,0.6898677831770226,0.0451702931657292,0.8077214726923394,-5.696100847968069
MMIF-INet,CT,10,20260424_094029,4.856918409450502,,76.67240422429515,8.826490534324748,33.71540324706749,89.91267616298714,0.8057638208621937,1.8184117348069926,0.018410759033011936,0.6430927635686559,1.0978559819175087,1.4552437197387469,55.41122916985857,0.18794203685672953,0.6144223283269736,0.007213015337508698,0.4610635239883358,0.40894732642606957,0.7839630427421169,556.4865011625812,0.9126173582249232,0.6544782721499546,0.1444162013586922,0.8057638208621937,-8.55929133266694
NestFuse,CT,24,20260424_033330,4.372321530165284,55.103964487711586,68.88812719747592,7.5392901584500125,29.032359090263864,74.94179634244756,0.8061454014166879,1.9081353062502406,0.03210743249345296,0.6745110965080118,1.2417989257659447,1.3614515301136787,55.42876287415479,0.18723881592432404,0.37244520963678357,0.0015533326910418081,0.3052094185979943,0.25224240097964173,0.727336116670604,930.5577502969849,0.8038670243452243,0.7228497056326485,0.24327090872696436,0.8061454014166879,-7.676715547541939
NestFuse,PET,24,20260424_033446,4.045388227314905,57.065551122029625,85.33422285747615,5.759024168478653,21.826521500778785,59.18885176265379,0.8061311884849823,1.9931532233590534,0.030032989116928286,0.5797334778470226,1.1395815838799648,1.1016681914545046,55.180484389510944,0.19764355703790884,0.22613018890887604,0.0014624959521791789,0.2567408388369503,0.22461429685810178,0.7769589030419918,525.9653864756965,0.6764560090252019,0.7462811337981862,0.40118904925193394,0.8061311884849823,-5.246029295724594
NestFuse,SPECT,24,20260424_033603,3.6396151221235513,38.484894434611,61.00180066210444,5.029447934386644,19.522785296064722,50.85961096639869,0.8050205379500245,1.6377170483481958,0.04544841380775124,0.6075675653866176,1.1433508125739238,1.2738417806888231,57.01009701244097,0.1300028542296348,0.34271851937614867,0.0025083549877167603,0.27424364275062774,0.24815489168559046,0.6589678675220791,207.39647164608354,0.7913352040442825,0.6550956012185182,0.1465663716747971,0.8050205379500245,-10.312018757259063
